"genres";"plays";"danceability";"artist_plays_previous_month"
"Alternative";37;0.524;53
"Alternative,Rock";3;0.645;3
"Alternative,Folk";1;0.701;3
"Alternative";11;0.724;NA
"Dance,Electronic";2;0.713;NA
"Rock";92;0.594;512
"Pop,Rock";66;0.639;608
"Alternative,Rock";1;0.455;2
"Electronic";2;0.851;NA
"HipHop,Pop";13;0.758;0
"HipHop,RnbAndSoul";77;0.612;0
"Rock";29;0.624;20
"Rock,Soundtrack";13;0.29;48
"Inspirational";14496;0.724;NA
"Electronic";7;0.557;18
"Pop";103;0.525;0
"Alternative,Rock";8;0.706;NA
"Rock";3;0.466;14
"Pop";6;0.313;7
"Blues,Folk";9;0.538;57
"Dance,Reggae";78;0.847;1426
"HipHop";8346;0.767;87248
"Rock";81;0.431;256
"HipHop";9;0.581;NA
"Electronic";8;0.0942;6
"Comedy";1;0.618;2597
"Dance,Electronic";5;0.693;236
"Country,Rock";56;0.457;525
"Pop";796;0.472;9187
"HipHop";6;0.874;NA
"Blues";333;0.494;38355
"Pop,Rock";2;0.456;0
"Opera";6;0.444;3
"Alternative";7;0.553;NA
"Alternative";2;0.391;5
"Rock";196;0.488;0
"Dance,Electronic";1;0.579;4
"Pop,Rock";260;0.522;340
"Dance,Electronic";20;0.516;28
"Classical,Jazz";14;0.564;NA
"World";40;0.69;NA
"Classical";14;0.25;3
"Electronic";6;0.891;4
"HipHop";2689;0.614;0
"Alternative,Rock";7;0.59;19
"Folk";104;0.522;NA
"Alternative,Rock";260;0.281;175
"Pop,Reggae";10;0.572;48
"World";7;0.777;NA
"HipHop";845;0.634;4288
"Rock";1;0.369;1
"Rock";1649;0.493;9
"Alternative";1;0.336;66
"Alternative";1;0.49;11
"Rock";14;0.575;NA
"Alternative";33;0.249;NA
"Alternative,Pop";3;0.525;8
"Alternative,Reggae";61;0.447;433
"Electronic,Rock";1;0.553;0
"Blues";17;0.529;72
"Alternative";18;0.473;NA
"Alternative";32;0.752;44
"World";1;0.539;2
"HipHop";17;0.784;NA
"HipHop";2702;0.736;26039
"Alternative,Rock";26;0.463;40
"Alternative,Rock";1;0.359;4
"SpokenWord";9;0.612;9539
"Reggae,World";2;0.536;1
"Rock";6;0.444;0
"Rock";1;0.332;NA
"Folk";1;0.726;31
"NewAge";2666;0.186;384
"Alternative,Rock";2;0.418;NA
"Rock";215;0.142;719
"Folk,Pop";14;0.856;124
"NewAge";53;0.441;NA
"Blues,Rock";26;0.643;20
"Rock";31;0.467;NA
"Folk,Jazz";48;0.635;120
"Pop";10;0.678;162
"Classical";190;0.211;109
"AudioBooks,SpokenWord";93;0.625;3302
"Rock";4;0.256;29
"Dance,Electronic";20;0.555;NA
"Electronic";1;0.754;NA
"HipHop";4;0.785;NA
"Pop";11;0.54;NA
"Country,Rock";41;0.688;15419
"HipHop";10;0.493;0
"NewAge";2654;0.121;17619
"Jazz,Pop";1;0.518;4
"Alternative,Electronic";347;0.408;0
"HipHop";1;0.815;25
"Pop";71;0.204;121
"Rock";1069;0.457;NA
"Rock";7;0.221;4
"Electronic";37;0.581;240
"HipHop";1;0.804;4
"Inspirational,Pop";94;0.212;0
"HipHop";1;0.618;65
"NewAge";76;0.0808;217495
"Dance,Electronic";11;0.792;22
"Pop";56;0.649;270
"Blues,Rock";556;0.204;0
"Vocal";24;0.0787;0
"Pop,Rock";24;0.508;55
"Alternative,Pop";1;0.351;3
"HipHop";37;0.574;152
"Alternative,Rock";40;0.487;407
"Jazz";24;0.553;350
"Alternative";3;0.373;21
"HipHop";70;0.848;2
"Pop";44;0.643;NA
"HipHop";4;0.917;NA
"Rock";694;0.424;2616
"Inspirational";7;0.23;27
"Rock,World";9;0.397;195
"Classical,Electronic";10;0.353;188
"Dance,Electronic";49;0.577;402
"Alternative";3;0.267;1
"Rock";922;0.333;0
"Pop,Rock";28;0.345;26
"Electronic";1;0.668;1
"Alternative,Pop";127;0.147;471
"NewAge,World";5;0.634;7
"Pop,Rock";71;0.579;108
"Rock";5;0.56;NA
"Alternative,Rock";1;0.453;NA
"Blues";4;0.583;14
"Alternative";30;0.496;2775
"Pop";7;0.461;73
"Electronic,Pop";20;0.568;183
"Alternative";61;0.668;449
"SpokenWord";29;0.624;8116
"Rock";6;0.364;NA
"Rock";19;0.544;0
"Rock";30;0.629;NA
"Inspirational,NewAge";31;0.158;NA
"Rock";36;0.511;14
"Alternative,Country";1;0.542;1
"Country,Rock";30;0.689;0
"Alternative,Electronic";4;0.467;106
"Folk,Jazz";38;0.625;126
"Country";424;0.599;0
"Dance,Electronic";34;0.521;NA
"Soundtrack";11;0.615;565
"SpokenWord";41;0.716;NA
"Electronic";1;0.284;15
"Alternative,Rock";41;0.242;6
"Soundtrack";24;0.552;13
"HipHop";2;0.733;10
"NewAge";30;0.08;0
"Alternative,Pop";793;0.477;9728
"Dance";2;0.552;2
"Alternative,Rock";102;0.481;75
"Alternative,Rock";1;0.278;16
"Pop";149;0.298;211
"Alternative";6;0.446;125
"Alternative";31;0.621;5
"HipHop";40;0.711;170
"Alternative,Rock";6;0.32;0
"Rock";44;0.483;18
"Alternative,Electronic";6;0.644;13
"Rock";936;0.543;1661
"Electronic";124;0.795;264
"Comedy";1;0.663;1612
"Inspirational";6;0.542;20
"Comedy";21261;0.559;745669
"Folk";74;0.572;589
"Electronic";692;0.456;0
"Pop,Soundtrack";18;0.313;NA
"Pop";51;0.549;26616
"HipHop";4;0.708;NA
"Alternative";25;0.566;112
"Comedy";5;0.493;NA
"Electronic";28;0.544;111
"Electronic";21;0.179;2393
"Pop";4263;0.638;1451
"Rock";1;0.555;NA
"Vocal";64;0.16;NA
"Folk";14;0.673;NA
"Pop,Rock";23;0.472;5
"Alternative,Rock";3;0.241;NA
"Jazz";2;0.567;28
"RnbAndSoul";4119;0.534;659
"Pop";33;0.525;1905
"Alternative,Rock";589;0.369;2025
"Pop";4;0.752;24573
"Electronic";23;0.719;3483
"Pop,Rock";1;0.497;0
"Inspirational";15;0.554;229
"Vocal";1;0.67;1
"Alternative,Rock";1;0.496;1
"Electronic,Pop";9;0.901;62
"Rock";1;0.66;20
"Country,Folk";4;0.527;30
"Folk";4;0.328;NA
"HipHop,RnbAndSoul";22;0.493;50
"Pop,Rock";58;0.545;0
"Rock";9;0.442;1
"Dance";6;0.638;163
"Alternative,Rock";5;0.34;64
"Electronic";16;0.519;NA
"Rock";3;0.342;12
"Rock";27;0.253;195
"Alternative,Rock";2;0.31;NA
"Pop";1;0.583;NA
"Pop";147;0.653;138
"Electronic";8;0.755;39
"Country";1;0.33;8
"Electronic";1;0.592;1
"Electronic";58;0.532;NA
"Alternative,Electronic";1;0.386;10
"Electronic,Rock";52;0.683;25
"Folk";185;0.531;1453
"World";3;0.244;12
"Electronic,Pop";37;0.406;726
"Classical";7;0.486;4
"Rock";7822;0.276;710312
"Electronic,Pop";2;0.377;16
"Jazz";36;0.597;241
"Dance";717;0.83;108
"Folk";4;0.592;3
"NewAge";22;0.207;NA
"Rock";5;0.528;2
"Rock";8;0.528;0
"HipHop";33;0.801;NA
"Electronic,NewAge";8;0.089;267696
"HipHop";27;0.762;61073
"Rock";4;0.359;88
"Alternative";8;0.341;NA
"HipHop";3;0.628;NA
"Alternative,Rock";9;0.611;849
"Pop";274;0.39;470
"Dance,World";215;0.822;276
"Electronic";1;0.399;14
"Pop";201;0.28;199
"Blues";9;0.53;86
"HipHop";2;0.747;NA
"Alternative,Rock";149;0.338;57
"HipHop";29;0.564;NA
"Electronic,HipHop";1;0.299;11
"Alternative,Pop";113;0.371;1789
"Pop";9518;0.517;0
"Alternative";1;0.576;85
"Comedy";1;0.685;NA
"Alternative,Pop";44;0.619;51
"NewAge";1;0.663;10
"Rock";84;0.587;NA
"Comedy";7;0.707;NA
"Rock";2;0.389;NA
"HipHop";14;0.574;0
"Pop";34636;0.827;934023
"HipHop,RnbAndSoul";3;0.462;8
"NewAge,World";2;0.507;8
"Latin";396;0.429;2
"Electronic";15;0.573;NA
"Electronic";1;0.61;8
"Folk";860;0.663;50
"Alternative";125;0.269;763
"Rock";25;0.507;87
"Alternative,Rock";1;0.464;0
"HipHop";48;0.616;971
"Alternative";167;0.254;678
"Electronic";17;0.17;2393
"Rock";23;0.255;NA
"Pop,Rock";1;0.58;27
"Classical";40;0.271;0
"Alternative";1450;0.381;781
"Dance,Electronic";271;0.609;1566
"Country";5;0.516;NA
"Pop,Rock";1;0.561;51
"RnbAndSoul";2;0.598;13
"Rock";1;0.456;3
"Rock";25;0.37;0
"AudioBooks,SpokenWord";35;0.663;2080
"Electronic";168;0.438;1164
"Alternative,Rock";13;0.291;NA
"HipHop";213;0.661;904
"Rock";1;0.341;35
"Rock";1;0.57;1
"HipHop";90;0.304;12
"Pop,Rock";42;0.529;0
"Electronic";1043;0.593;901
"HipHop";4;0.786;NA
"Pop";6;0.646;0
"Alternative";142;0.788;342
"Electronic";2;0.769;12
"Alternative,Rock";1;0.495;NA
"Rock";324;0.247;12
"Rock";79;0.349;240
"Pop,Rock";12;0.545;0
"Rock";3;0.23;3
"Rock";1;0.297;NA
"Pop,Rock";108;0.616;168
"Folk";1;0.557;122
"World";76;0.409;NA
"SpokenWord";28;0.633;6036
"Electronic";23;0.59;0
"Dance,Electronic";3;0.813;9
"Alternative";117;0.414;NA
"Electronic";94;0.592;0
"HipHop";6;0.721;NA
"AudioBooks,SpokenWord";59;0.662;0
"Pop,Reggae";22;0.829;0
"Electronic";43;0.398;192
"HipHop";198;0.797;34
"Electronic,Rock";28;0.303;0
"Dance";16;0.56;NA
"AudioBooks";356;0.602;18537
"Alternative";168;0.466;89
"Holiday";6740;0.567;36407
"World";18;0.606;18
"Alternative";1;0.662;NA
"Dance,Electronic";13;0.713;0
"Rock";3;0.359;29
"HipHop";269;0.73;NA
"Pop";40;0.601;NA
"NewAge";2893;0.215;NA
"Rock";542;0.364;1184
"Pop";12;0.267;65
"Pop";5;0.412;NA
"SpokenWord,World";4;0.471;19
"NewAge";1338;0.446;34703
"Rock";1;0.359;9
"Dance";44;0.778;1
"Rock";8;0.395;1
"NewAge,World";18;0.614;37
"Pop,Soundtrack";3;0.845;8
"Pop";3;0.565;NA
"Alternative";115;0.53;0
"Pop";80;0.462;672
"Alternative,Rock";24;0.219;33
"Rock";16;0.571;38
"Folk";4;0.524;4
"Latin";103;0.34;1105
"Electronic,Rock";50;0.94;0
"HipHop,RnbAndSoul";122;0.726;0
"Jazz,World";2;0.501;25
"Alternative";10;0.517;164
"Electronic,RnbAndSoul";42;0.726;NA
"HipHop";29;0.775;0
"Rock,World";8;0.491;4
"HipHop";11;0.45;12
"Folk,Reggae";5;0.538;6
"Jazz";7;0.377;621
"Alternative,Pop";2;0.421;2
"Pop";2;0.385;NA
"Rock";2;0.221;0
"Classical";29;0.349;73
"Rock";84;0.439;8060
"Pop";19;0.436;28
"NewAge,World";165;0.304;0
"Electronic,Jazz";17;0.23;0
"Pop";178;0.571;NA
"Electronic,Rock";13;0.644;12219
"Pop,Rock";1;0.39;NA
"Alternative,Rock";1;0.37;1
"Pop,Rock";436;0.566;0
"Folk,World";5;0.599;35
"Pop";3849;0.774;30
"Pop";97;0.663;0
"Country,Folk";306;0.52;133
"Electronic";2;0.534;1
"Rock";6;0.688;6
"Electronic,Pop";33;0.558;35
"Classical,World";19;0.494;381
"Alternative";6;0.291;NA
"Rock";14;0.506;140
"HipHop,RnbAndSoul";27;0.861;NA
"Country,Rock";30;0.789;18661
"Electronic";1;0.711;NA
"Alternative";5;0.467;NA
"Alternative,Rock";22;0.382;0
"Rock";2;0.388;57
"HipHop";20;0.721;NA
"Pop,Rock";57;0.428;99
"Pop";32;0.707;NA
"Soundtrack";4;0.746;2268
"Rock";477;0.444;2071
"Classical";1;0.334;20
"Electronic,NewAge";1335;0.21;164805
"Alternative";19;0.422;110
"AudioBooks,SpokenWord";16;0.56;0
"Dance,Electronic";6;0.79;14
"RnbAndSoul";560;0.674;NA
"Comedy";18753;0.595;228416
"Pop";90;0.795;NA
"HipHop,Reggae";71;0.797;0
"AudioBooks,SpokenWord";16;0.625;0
"Soundtrack";1;0.275;2458
"Rock";3;0.229;0
"Pop";8;0.341;NA
"Soundtrack";26;0.465;20
"Dance";3;0.653;NA
"Electronic";6;0.409;16
"Rock";4;0.565;5
"Pop";54;0.599;0
"Rock";19;0.367;NA
"Rock";41;0.683;NA
"Electronic";1;0.673;35
"HipHop,RnbAndSoul";18004;0.733;102048
"HipHop";402;0.778;NA
"Electronic";19;0.443;1
"Alternative";309;0.52;966
"HipHop";176;0.729;288
"Country";192;0.605;0
"Alternative";23;0.301;15
"SpokenWord";258;0.322;159
"HipHop";2375;0.863;94
"NewAge";2319;0.22;NA
"HipHop";205;0.728;NA
"HipHop";319;0.777;1846
"Pop";176;0.823;84
"Folk,Rock";7;0.637;25
"Rock";105;0.196;NA
"Alternative,Soundtrack";5;0.247;NA
"Rock";65;0.666;12
"Rock";1;0.369;NA
"Pop";24;0.68;80
"HipHop";215;0.792;520
"Dance";15;0.805;NA
"Pop";34;0.743;0
"Pop,Rock";6;0.586;NA
"Folk";63;0.169;69
"Rock";26;0.439;282
"Alternative";43;0.553;40
"Pop";35;0.807;NA
"Rock";32;0.4;NA
"Pop,Rock";150;0.532;0
"Electronic";562;0.239;70517
"NewAge";65;0.111;251
"Alternative";83;0.254;NA
"Comedy,Dance";58;0.365;5
"Alternative";1;0.461;NA
"Alternative";3;0.656;28
"Alternative,Rock";1413;0.24;0
"NewAge";2;0.701;5
"Rock";2;0.556;5
"HipHop";30;0.922;NA
"Rock";22;0.45;NA
"Alternative";23;0.577;170
"RnbAndSoul";133;0.618;49
"AudioBooks";335;0.666;469
"Rock";113;0.338;222
"Rock";6;0.791;NA
"Vocal";6;0.187;70
"Pop";17;0.734;20
"Alternative";71;0.487;62
"HipHop";4;0.704;33
"Country";27;0.483;NA
"HipHop";1;0.387;5
"Rock";73;0.415;0
"NewAge";1775;0.105;NA
"Inspirational";4539;0.549;NA
"Dance,Electronic";1;0.936;NA
"Electronic,Rock";6;0.597;1
"Rock";2145;0.51;2853
"HipHop,Pop";9;0.792;46
"Alternative";2;0.509;NA
"Rock";4;0.332;27
"Alternative";13;0.28;210
"Alternative";46;0.374;152
"Pop,Rock";1;0.286;5
"Alternative";32;0.652;NA
"HipHop";152;0.747;0
"Rock";2;0.445;8
"Jazz,Latin";11;0.431;97
"Pop";29;0.682;8
"Comedy";1;0.587;854
"Pop,Rock";17;0.303;36
"Classical";10;0.2;0
"Dance,Electronic";1;0.754;NA
"Country";127;0.524;0
"HipHop";192;0.774;0
"Electronic";108338;0.134;850081
"Alternative";1;0.324;NA
"Alternative";38;0.131;39
"Alternative,Electronic";1;0.493;NA
"Rock";3;0.529;12
"Classical";52;0.34;83
"Rock";2;0.667;NA
"Alternative,Rock";9;0.24;22
"Electronic";1;0.803;NA
"Rock";1;0.376;10
"HipHop";15;0.577;2
"HipHop";3;0.758;76
"HipHop";737;0.707;NA
"Pop,World";1;0.441;1
"Alternative";21;0.208;NA
"Electronic,Jazz";3;0.393;22
"Electronic";1;0.4;1
"HipHop";92;0.72;0
"Alternative";185;0.404;179
"Pop";5;0.537;81
"Dance,Electronic";19;0.876;40
"Folk,Pop";375;0.463;1251
"Jazz";3;0.436;NA
"Rock";91;0.359;43
"Electronic,HipHop";10;0.746;10693
"Alternative";7;0.466;88
"Classical,Rock";902;0.165;4850
"Electronic,Pop";37;0.806;0
"Dance,Electronic";21;0.672;2590
"Rock";5;0.262;115
"Pop";16;0.506;164
"Electronic,Rock";7;0.462;0
"RnbAndSoul";22;0.808;15
"HipHop,World";1;0.732;19
"Pop,Rock";33;0.554;31
"Pop,Rock";1;0.422;NA
"Alternative,Rock";30;0.627;305
"Rock";162;0.522;0
"Electronic";247;0.767;0
"HipHop";5;0.642;NA
"Rock";7;0.634;9
"HipHop,Pop";52;0.696;508
"Alternative,Electronic";24;0.464;NA
"Dance,Electronic";3;0.513;36
"HipHop";468;0.67;375
"Alternative,Rock";1;0.154;NA
"Electronic";2767;0.819;5
"Alternative";32;0.693;NA
"Alternative";2;0.768;1
"Electronic";3;0.173;16
"Inspirational,NewAge";5;0.33;NA
"Rock";918;0.414;317
"Rock";107;0.312;54
"HipHop";21;0.403;NA
"Alternative";104;0.641;43
"Electronic";1;0.716;6
"Blues,Rock";24;0.489;63
"Rock";9145;0.465;16621
"Soundtrack";2015;0.29;9846
"HipHop";65;0.614;0
"Folk,Pop";2;0.34;0
"Rock";107;0.159;131
"Alternative,Rock";3;0.612;18
"HipHop";8;0.688;13
"Alternative";65;0.463;61
"Pop";114;0.558;0
"Rock";4;0.385;NA
"Alternative";142;0.7;1
"Alternative,Rock";67;0.657;901
"Dance,World";7;0.521;90
"HipHop";3682;0.877;421897
"Pop,Reggae";22;0.648;27
"HipHop";10;0.566;NA
"Electronic";44;0.408;217
"Alternative,Rock";210;0.21;0
"Alternative,Electronic";3;0.545;55
"Rock";55;0.394;NA
"Classical,World";10;0.23;170
"Alternative";1;0.583;5
"Pop,Rock";5;0.469;19
"HipHop";2;0.691;NA
"HipHop";1;0.568;134
"Electronic";20235;0.704;NA
"NewAge";16;0.0824;11240
"Pop";1605;0.669;4388
"Alternative,Rock";56;0.525;220
"Rock";29;0.264;NA
"Classical,World";1;0.552;20
"Electronic";10;0.771;4
"Rock";2;0.611;NA
"Folk";36;0.504;156
"Comedy,Jazz";6;0.695;0
"World";12;0.92;3
"Rock";9;0.352;7
"Alternative";74;0.448;NA
"Alternative,Reggae";29;0.652;7
"HipHop";5;0.79;3
"Electronic";26;0.649;11
"Alternative";21;0.885;170
"Rock";14;0.487;167
"Country,Rock";89;0.593;0
"Rock";2;0.573;15
"Folk,World";280;0.738;573
"Alternative,Rock";29;0.33;31
"Rock";1;0.536;NA
"Electronic";9;0.795;0
"Pop";4;0.394;NA
"Rock";1;0.227;67
"Electronic";285;0.71;0
"Classical";534;0.533;0
"SpokenWord";1;0.611;NA
"Rock";25;0.499;NA
"Rock";23;0.297;0
"Electronic";46;0.723;109
"Rock";16;0.203;0
"Electronic";18;0.456;1
"Rock";6948;0.341;68381
"HipHop";1;0.863;17
"Country,Folk";18;0.539;0
"Alternative";680;0.582;NA
"HipHop";35;0.559;35
"Rock";106;0.614;0
"Rock";50;0.423;NA
"Electronic";1;0.738;6
"Rock";42;0.358;NA
"HipHop,Pop";29;0.757;0
"Alternative";1;0.245;135
"HipHop";43;0.584;NA
"Alternative,Folk";2;0.817;25
"Classical";4;0.304;125
"Pop";77;0.384;6
"HipHop";37;0.486;NA
"Folk,Rock";16;0.576;0
"Pop";8;0.9;41
"ChildrensMusic";98;0.621;24
"Alternative";108;0.621;NA
"Comedy";1;0.604;NA
"HipHop,Pop";1;0.592;2
"Rock";36;0.226;21
"Pop,Rock";483;0.442;0
"Pop";357;0.367;NA
"Rock";189;0.429;345
"Rock";7;0.784;10
"Rock";42;0.202;8
"Rock";43;0.236;39
"Jazz";6;0.88;36
"HipHop";523;0.664;0
"World";16;0.502;2
"Rock";13;0.385;40
"Electronic";74;0.601;NA
"Alternative,Rock";2;0.21;NA
"HipHop";1;0.583;12
"Alternative";11;0.237;7
"Folk";1;0.423;18
"Pop";88;0.597;0
"Alternative";389;0.207;0
"Classical,Latin";9;0.138;16
"Electronic";3;0.285;8674
"Folk";82;0.304;244
"Dance";2;0.502;NA
"Alternative";11;0.476;NA
"SpokenWord";6;0.735;7459
"Dance";4;0.578;17
"Rock";9;0.492;6
"Rock,Soundtrack";22;0.556;291
"Alternative,Rock";3;0.542;3
"HipHop";96;0.703;11916
"Country,Rock";66;0.691;15657
"HipHop";7;0.702;44
"Pop,Rock";245;0.57;0
"Electronic";31;0.787;0
"HipHop";24;0.706;NA
"Pop";10;0.693;30
"Rock";12;0.177;32
"Alternative";3;0.401;2
"Alternative";3;0.509;NA
"Alternative,Comedy";12523;0.78;0
"Alternative,Rock";12;0.668;16
"Classical";318;0.252;12077
"Alternative";1;0.664;14
"Alternative,Pop";46;0.351;0
"Rock";5;0.402;53
"Electronic";113;0.606;276
"Rock";3;0.645;NA
"Rock";888;0.324;447
"Reggae";135;0.769;949
"HipHop";18;0.776;NA
"Pop";170;0.465;NA
"Alternative";8;0.419;82
"Electronic";6;0.516;55
"Electronic,Pop";43;0.592;0
"Dance,Opera";82;0.578;0
"Alternative,Rock";4;0.755;13
"Rock";6616;0.398;710312
"Electronic";7;0.759;0
"SpokenWord";6;0.633;8789
"Alternative,Rock";67;0.39;64
"Alternative,Rock";1;0.447;72
"Rock";9;0.174;0
"Dance";350;0.742;134
"Pop";26;0.56;NA
"Alternative";69;0.374;418
"Jazz";1;0.2;0
"Dance";186;0.819;295
"Rock";2;0.512;NA
"Rock";107;0.139;0
"Pop,Rock";26;0.394;134
"Dance,Inspirational";21;0.598;55
"HipHop";11;0.813;NA
"Alternative,Rock";3;0.518;36
"Rock";179;0.494;0
"Electronic";38;0.512;NA
"Electronic";3;0.523;2
"Alternative";62;0.401;52
"Dance,Electronic";4;0.375;51599
"Alternative";3492;0.558;1325
"Electronic";170;0.6;2927
"SpokenWord";13;0.764;7672
"Dance,Electronic";1;0.632;NA
"Alternative,Pop";8;0.556;0
"HipHop";1;0.932;12
"ChildrensMusic";661;0.748;20415
"Pop";35;0.518;46
"Rock";1;0.536;132
"Country";17;0.674;0
"Alternative,Pop";65;0.606;48
"HipHop,Latin";54;0.51;345
"HipHop";1924;0.809;8953
"Rock";5;0.2;2
"Jazz,Pop";559;0.897;0
"Alternative";45;0.608;NA
"Electronic";333;0.404;1219
"Alternative,Pop";25;0.537;161
"Pop";325;0.91;NA
"Folk";7;0.615;767
"Alternative,Rock";57;0.397;48
"Electronic";205;0.725;0
"AudioBooks,SpokenWord";237;0.663;9113
"Rock";274;0.578;2924
"HipHop";9;0.733;66
"Rock";13;0.455;NA
"Rock";27;0.647;NA
"Rock";5;0.537;NA
"Electronic,Rock";23;0.551;2
"Pop,Reggae";31;0.738;0
"Soundtrack";31;0.413;184
"Rock,RnbAndSoul";54;0.538;46
"Classical";1;0.393;27
"World";38;0.273;145
"Rock";4;0.251;1013
"Rock";9;0.467;0
"Electronic";1;0.171;12
"Pop,Rock";483;0.442;0
"Folk";18;0.532;56
"Alternative,Rock";11;0.491;11
"Folk,Pop";67;0.549;79
"Folk,Pop";2230;0.292;0
"HipHop";3;0.651;NA
"Electronic";14;0.718;62
"Pop";2;0.357;NA
"Folk,Rock";3;0.55;183
"Alternative,Rock";646;0.172;340
"Electronic";5;0.785;357
"Alternative";108;0.193;1163
"Rock";460;0.169;3445
"Rock";29;0.457;95
"Alternative";2;0.732;NA
"Dance,Electronic";7;0.761;2
"Pop,Rock";12;0.583;20
"Jazz";1;0.611;1
"Pop";1;0.579;0
"Rock";74;0.396;1288
"Electronic";4;0.795;2
"Pop";24;0.637;6
"NewAge";1040;0.139;NA
"HipHop";57875;0.645;16256
"HipHop";1;0.504;21
"Rock";33;0.59;160
"Comedy";49;0.671;0
"World";15;0.591;111
"Pop";2330;0.604;0
"Alternative,HipHop";228;0.671;1818
"Alternative,Electronic";3;0.0626;34
"HipHop";4;0.755;NA
"Pop";7;0.548;104
"Holiday";8;0.2;0
"NewAge";1046;0.153;52396
"HipHop";15809;0.604;39443
"Rock";12486;0.567;24483
"Country,Rock";1391;0.297;41468
"Rock";32;0.633;123
"Electronic";11;0.717;27
"Alternative";26;0.562;14
"Alternative";12936;0.515;72511
"Alternative,Rock";68;0.366;53
"HipHop,RnbAndSoul";12;0.715;20
"Rock";2;0.457;45
"Alternative,Pop";25;0.642;25
"Alternative,Rock";1;0.345;NA
"Rock";1;0.558;19
"Pop";59;0.652;82
"Alternative";12;0.418;0
"Rock";1;0.5;6
"Blues,HipHop";9;0.746;0
"Electronic";6;0.812;106
"Dance,Electronic";82;0.651;0
"Rock";7;0.653;185
"SpokenWord";90;0.71;8171
"Alternative";25;0.107;2
"Dance";17;0.485;1517
"Rock";1167;0.562;7273
"Rock";204;0.452;NA
"Pop";1;0.732;1
"Classical,Comedy";1;0.392;156
"Alternative";57;0.636;NA
"Electronic,Rock";245;0.7;34207
"Blues,Country";42;0.538;1411
"Pop";13;0.327;9
"Rock";1;0.298;47
"Alternative,Rock";5;0.299;0
"Folk,Rock";1;0.426;NA
"Rock,RnbAndSoul";5;0.695;2
"Electronic,Pop";52;0.712;0
"Folk";19;0.597;0
"Rock";276;0.599;985
"HipHop";286180;0.637;215416
"HipHop";117;0.599;792
"Rock";34;0.283;48
"Electronic";147;0.43;82
"Comedy";154;0.394;30774
"Rock";6;0.49;16
"Alternative,World";7;0.496;40
"Alternative";2;0.336;NA
"NewAge,World";4;0.605;0
"HipHop";66;0.854;228
"Rock";2;0.507;NA
"Pop,Rock";2;0.323;10
"Reggae";2;0.921;NA
"Soundtrack";3;0.416;NA
"Country";417;0.528;2051
"Pop,Rock";1;0.721;4
"Rock";2;0.6;1227
"Alternative,Rock";6;0.475;130
"Rock";162;0.588;4
"ChildrensMusic";72;0.773;4564
"Folk";1;0.655;0
"HipHop";3119;0.83;427168
"Alternative";39;0.241;NA
"Folk,World";125;0.595;128
"NewAge";1;0.732;NA
"Classical,World";239;0.338;0
"Electronic";20;0.436;NA
"World";23;0.655;NA
"Pop,Rock";26;0.523;15
"Pop";413;0.307;363
"Pop";25;0.566;NA
"Electronic";152;0.611;0
"Folk,Pop";9;0.518;25
"Holiday";1;0.228;NA
"Alternative";146;0.513;NA
"Rock";3;0.276;2
"Rock";11;0.246;0
"Rock";174;0.416;1168
"Pop";29;0.438;57
"Alternative";4;0.184;NA
"HipHop,RnbAndSoul";61;0.857;0
"Pop";278;0.697;33226
"Pop";209;0.657;125
"Rock";115;0.437;0
"Rock";37;0.419;NA
"Electronic";1;0.623;17
"Electronic,Rock";1;0.393;1
"Electronic";19588;0.762;NA
"Alternative,Rock";1;0.56;11
"Alternative";10;0.626;4
"Dance,Electronic";11;0.748;51
"Rock";22;0.554;20
"Rock";130;0.579;386
"Rock";210;0.48;0
"Folk";10;0.664;NA
"Pop";226;0.677;NA
"Alternative,Rock";55;0.287;0
"Pop";10;0.551;0
"Reggae";4;0.853;NA
"Alternative,Electronic";6;0.339;24
"NewAge";28;0.545;0
"World";12;0.931;2
"Rock";5;0.601;55
"Alternative";551;0.5;822
"HipHop";126;0.535;1463
"Rock";3000;0.585;127521
"HipHop,RnbAndSoul";1;0.742;NA
"Electronic";15;0.632;512
"Alternative";12;0.342;1
"Reggae";1244;0.8;0
"Pop,Rock";127;0.4;0
"Alternative";1;0.422;5
"NewAge";8;0.176;23758
"Country,Pop";435;0.576;471
"HipHop";7;0.63;NA
"Rock";2306;0.219;6444
"Dance,Pop";367;0.34;642
"NewAge";43;0.17;85869
"Pop,Rock";2;0.485;NA
"Folk";27;0.429;NA
"Pop";9;0.606;NA
"Alternative";1;0.425;NA
"Alternative,Rock";31;0.336;0
"Alternative,Rock";3;0.213;284
"Pop";12;0.596;74
"NewAge";4;0.567;9
"Rock";53;0.547;0
"Electronic";4;0.654;NA
"Alternative,Rock";2;0.286;16
"Pop";1254;0.58;2296
"Dance";80394;0.741;206285
"Alternative";2;0.496;4
"Alternative";12;0.22;NA
"Blues,Pop";101;0.312;307
"Alternative,Rock";12;0.316;NA
"Electronic";28925;0.444;NA
"ChildrensMusic";10;0.509;71
"HipHop";392;0.606;NA
"HipHop";6014;0.698;115128
"Pop,Rock";1;0.521;5
"HipHop";5;0.748;NA
"Alternative";6;0.817;NA
"HipHop";10;0.673;NA
"SpokenWord";70;0.712;8582
"Electronic";1413;0.543;4295
"ChildrensMusic,Folk";25;0.658;20
"Rock";2310;0.57;322
"Pop,Rock";9;0.283;10
"Dance";145;0.729;35
"Rock";1;0.521;2
